(1587232853.992455, 0)
(1587232854.043293, 0)
(1587232854.094029, 1)
(1587232854.145495, 7)
(1587232854.196539, 13)
(1587232854.252558, 21)
(1587232854.308589, 27)
(1587232854.363898, 31)
(1587232854.415309, 35)
(1587232854.465878, 40)
(1587232854.516955, 45)
(1587232854.56958, 50)
(1587232854.624316, 55)
(1587232854.676925, 60)
(1587232854.733152, 66)
(1587232854.785555, 71)
(1587232854.836561, 76)
(1587232854.888215, 81)
(1587232854.938941, 86)
(1587232854.98953, 91)
(1587232855.041388, 95)
(1587232855.094102, 100)
(1587232855.145774, 105)
(1587232855.20243, 111)
(1587232855.258891, 117)
(1587232855.314279, 122)
(1587232855.365906, 127)
(1587232855.417513, 132)
(1587232855.474532, 138)
(1587232855.526269, 143)
(1587232855.578604, 148)
(1587232855.629603, 153)
(1587232855.685032, 158)
(1587232855.735677, 163)
(1587232855.788056, 168)
(1587232855.838918, 173)
(1587232855.890062, 178)
(1587232855.941109, 183)
(1587232855.99349, 187)
(1587232856.047418, 192)
(1587232856.103037, 198)
(1587232856.154378, 203)
(1587232856.205235, 207)
(1587232856.256197, 207)
(1587232856.308323, 205)
(1587232856.359239, 199)
(1587232856.409796, 192)
(1587232856.461183, 184)
(1587232856.515939, 180)
(1587232856.570127, 175)
(1587232856.622024, 171)
(1587232856.672954, 166)
(1587232856.723626, 161)
(1587232856.774593, 156)
(1587232856.825375, 151)
(1587232856.875907, 145)
(1587232856.926892, 140)
(1587232856.978051, 135)
(1587232857.028608, 132)
(1587232857.082223, 126)
(1587232857.132992, 120)
(1587232857.18374, 115)
(1587232857.235347, 110)
(1587232857.285917, 105)
(1587232857.336895, 101)
(1587232857.391808, 96)
(1587232857.442345, 92)
(1587232857.492981, 86)
(1587232857.544146, 80)
(1587232857.594865, 76)
(1587232857.645433, 71)
(1587232857.698572, 68)
(1587232857.752418, 62)
(1587232857.805046, 57)
(1587232857.855623, 51)
(1587232857.906324, 48)
(1587232857.958362, 43)
(1587232858.008987, 37)
(1587232858.061251, 33)
(1587232858.115403, 28)
(1587232858.171624, 21)
(1587232858.222264, 16)
(1587232858.273773, 13)
(1587232858.324283, 12)
(1587232858.378229, 16)
(1587232858.432313, 23)
(1587232858.489562, 30)
(1587232858.542992, 36)
(1587232858.598214, 41)
(1587232858.64904, 45)
(1587232858.700152, 49)
(1587232858.751179, 54)
(1587232858.803779, 59)
(1587232858.859718, 64)
(1587232858.914227, 70)
(1587232858.965632, 74)
(1587232859.016908, 80)
(1587232859.068263, 85)
(1587232859.119468, 90)
(1587232859.170154, 94)
(1587232859.222914, 99)
(1587232859.27574, 105)
(1587232859.326544, 110)
(1587232859.384284, 115)
(1587232859.44095, 120)
(1587232859.493462, 125)
(1587232859.548988, 130)
(1587232859.603714, 136)
(1587232859.658418, 141)
(1587232859.713003, 146)
(1587232859.77018, 152)
(1587232859.823703, 157)
(1587232859.878255, 162)
(1587232859.928998, 167)
(1587232859.980377, 172)
(1587232860.034206, 178)
(1587232860.089508, 183)
(1587232860.140135, 188)
(1587232860.192169, 192)
(1587232860.245827, 197)
(1587232860.30254, 202)
(1587232860.358047, 208)
(1587232860.4145, 212)
(1587232860.46694, 212)
(1587232860.522336, 207)
(1587232860.576392, 200)
(1587232860.629835, 192)
(1587232860.682531, 187)
(1587232860.733488, 183)
(1587232860.784187, 178)
(1587232860.835415, 175)
(1587232860.886169, 170)
(1587232860.93697, 166)
(1587232860.992174, 159)
(1587232861.04295, 154)
(1587232861.093627, 148)
(1587232861.145064, 146)
(1587232861.195668, 140)
(1587232861.246338, 133)
(1587232861.298449, 130)
(1587232861.352231, 125)
(1587232861.403696, 119)
(1587232861.454219, 113)
(1587232861.505148, 109)
(1587232861.556362, 104)
(1587232861.606979, 98)
(1587232861.662315, 95)
(1587232861.713035, 89)
(1587232861.763924, 83)
(1587232861.815338, 78)
(1587232861.866264, 74)
(1587232861.916943, 70)
(1587232861.968427, 64)
(1587232862.020533, 59)
(1587232862.07205, 54)
(1587232862.123026, 50)
(1587232862.173747, 44)
(1587232862.225095, 40)
(1587232862.275698, 36)
(1587232862.330919, 31)
(1587232862.384232, 26)
(1587232862.436863, 21)
(1587232862.491451, 17)
(1587232862.545921, 16)
(1587232862.597027, 21)
(1587232862.648529, 27)
(1587232862.702255, 34)
(1587232862.755956, 39)
(1587232862.807027, 44)
(1587232862.862353, 48)
(1587232862.915398, 52)
(1587232862.96958, 58)
(1587232863.024551, 63)
(1587232863.080915, 68)
(1587232863.134006, 73)
(1587232863.186472, 78)
(1587232863.242917, 84)
(1587232863.295703, 89)
(1587232863.346355, 94)
(1587232863.396983, 99)
(1587232863.449051, 104)
(1587232863.502249, 110)
(1587232863.553774, 114)
(1587232863.604373, 119)
(1587232863.655317, 124)
